product_id,sales_person_id,sales_person_name,product_name,price,quantity_sold,product_make,product_color,model_year,region_sold_in,state_sold_in,country_sold_in,buyer_gender,currency,credit_card_type,Car_VIN
16,344495866-8,astancliffef,Ram 2500 Club,$687824.23,78821,Dodge,Mauv,1996,Jackson,Tennessee,United States,Female,Dollar,jcb,1FTSE3ELXAD060308
17,891221674-0,ejewisg,Monte Carlo,$217823.51,7882,Chevrolet,Pink,1995,Sacramento,California,United States,Male,Dollar,maestro,JM3TB2BA7C0402649
18,322725133-7,eflighth,S6,$647023.30,13060,Audi,Yellow,2009,Fort Wayne,Indiana,United States,Male,Dollar,china-unionpay,WAUAFAFH3BN556019
19,919823095-6,hhusteri,626,$201327.58,16147,Mazda,Blue,1997,Sioux City,Iowa,United States,Female,Dollar,jcb,1GD322CG0EF170743
20,039108185-3,rschistlj,E-Series,$897645.85,141767,Ford,Yellow,2006,New York City,New York,United States,Female,Dollar,laser,3N1AB6AP8CL025543
21,280248736-1,mlondingk,Stratus,$368701.80,141475,Dodge,Puce,2005,Houston,Texas,United States,Male,Dollar,jcb,WA1LGBFE5ED791448
22,771474150-3,sduffynl,Murciélago,$179004.09,87075,Lamborghini,Purple,2006,Grand Rapids,Michigan,United States,Male,Dollar,maestro,YV4902NB8F1312158
23,754653457-7,lputnamm,Probe,$39141.83,42990,Ford,Goldenrod,1994,Greensboro,North Carolina,United States,Male,Dollar,jcb,19XFB4F28EE191105
24,283932871-2,nstaddingn,Ram 1500,$597183.19,44386,Dodge,Khaki,2001,Dallas,Texas,United States,Male,Dollar,mastercard,3C4PDCGB3FT674506
25,201320434-5,tpoppleo,Civic,$568963.02,8386,Honda,Yellow,2012,Saint Louis,Missouri,United States,Female,Dollar,laser,JTDBT4K33B4185252
26,512595284-2,lvanoordp,DeVille,$816729.78,92794,Cadillac,Goldenrod,1997,Washington,District of Columbia,United States,Female,Dollar,jcb,JH4CL95916C917468
27,821185937-8,ggriffittsq,LeBaron,$89426.15,102917,Chrysler,Maroon,1994,Nashville,Tennessee,United States,Female,Dollar,jcb,SCFEBBBC3AG478801
28,734182424-7,dkentishr,Daewoo Lacetti,$697960.82,20901,Suzuki,Green,2005,Dallas,Texas,United States,Male,Dollar,jcb,JHMZF1C43DS406115
29,896741858-2,bleftbridges,Express 1500,$120893.82,146654,Chevrolet,Goldenrod,2000,Detroit,Michigan,United States,Female,Dollar,jcb,1GD11XEG1FF288838
30,958523533-1,oprovert,Laser,$864335.48,116178,Ford,Khaki,1984,Monticello,Minnesota,United States,Female,Dollar,china-unionpay,1HGCP2E73BA769018
31,030296871-7,dkimmonsu,Passport,$833634.06,99405,Honda,Green,1998,Las Vegas,Nevada,United States,Male,Dollar,jcb,2FMGK5B83DB146883
32,130491054-7,asoppitv,MPV,$305948.86,142131,Mazda,Orange,1998,San Jose,California,United States,Female,Dollar,switch,YV140MEA1F1064037
33,555829823-5,mgatlinw,Grand Am,$709979.86,957,Pontiac,Goldenrod,1989,Merrifield,Virginia,United States,Female,Dollar,visa-electron,YV1982BW9A1406295
34,139666490-4,tommundsenx,Century,$18229.38,100846,Buick,Green,1989,Pittsburgh,Pennsylvania,United States,Female,Dollar,bankcard,1C3CDZBG3EN519980
35,735680100-0,hblackhursty,Freelander,$641114.54,21444,Land Rover,Turquoise,2009,Denver,Colorado,United States,Female,Dollar,mastercard,1G6AB5R33F0198822
36,364272898-7,troutledgez,Grand Voyager,$618403.15,73858,Plymouth,Fuscia,1994,Camden,New Jersey,United States,Female,Dollar,mastercard,WBAAV53411J803023
37,494994366-9,aheavy10,Tundra,$444060.76,63237,Toyota,Crimson,2000,Montgomery,Alabama,United States,Male,Dollar,jcb,3C63D3GLXCG101329
38,503062551-8,ethulborn11,QX,$521628.31,147202,Infiniti,Puce,1997,Jacksonville,Florida,United States,Male,Dollar,jcb,WBA3D3C55FK232520
39,445105064-2,lcrass12,RAV4,$283252.70,37200,Toyota,Mauv,2006,Lubbock,Texas,United States,Male,Dollar,jcb,1G6DL8EY5B0066202
40,026976871-8,gschiefersten13,Sonata,$210074.77,14090,Hyundai,Fuscia,1997,Atlanta,Georgia,United States,Female,Dollar,diners-club-enroute,3VW4T7AT3EM543113
41,414005366-6,cmaty14,C-MAX Hybrid,$884153.76,126066,Ford,Green,2013,Tucson,Arizona,United States,Male,Dollar,laser,1N6AF0KXXFN170663
42,031286335-7,ltoohey15,Thunderbird,$891853.52,35811,Ford,Yellow,1980,Glendale,California,United States,Female,Dollar,jcb,1G6DU57V390307621
43,755061229-3,cgiovani16,LSS,$335381.71,29133,Oldsmobile,Maroon,1998,Saint Petersburg,Florida,United States,Female,Dollar,solo,1G4CW54K354453870
44,888793932-2,bdilloway17,Frontier,$743939.17,48111,Nissan,Turquoise,2000,Montgomery,Alabama,United States,Male,Dollar,visa-electron,3C63DPGL4CG505962
45,846100222-9,semmott18,Element,$66539.75,74640,Honda,Violet,2010,Pomona,California,United States,Female,Dollar,laser,3N1AB7AP5FY624607
46,897135105-5,chambling19,R8,$679815.07,124006,Audi,Fuscia,2012,Milwaukee,Wisconsin,United States,Male,Dollar,americanexpress,1GD02XEG1FZ219266
47,997350864-5,cbartens1a,Grand Prix,$416863.66,66761,Pontiac,Yellow,2003,Philadelphia,Pennsylvania,United States,Male,Dollar,mastercard,1C3BC2EB8BN153192
48,706687262-2,grussilll1b,Voyager,$156117.37,86733,Plymouth,Orange,1999,Memphis,Tennessee,United States,Female,Dollar,switch,WAUJC58E33A535697
49,233905482-6,ystarford1c,Crown Victoria,$187759.46,138431,Ford,Khaki,2004,Phoenix,Arizona,United States,Male,Dollar,jcb,WAUHFAFLXEA248635
50,889354411-3,grichings1d,Yukon XL 1500,$313696.59,48608,GMC,Maroon,2002,Mobile,Alabama,United States,Male,Dollar,mastercard,19XFB2E53DE636669
51,619449843-9,mhollingshead1e,Sierra 2500,$543344.43,133259,GMC,Maroon,2012,Saint Louis,Missouri,United States,Female,Dollar,jcb,4T1BF1FK7CU687475
52,151129573-2,wdumpleton1f,Outlander,$916542.25,119870,Mitsubishi,Fuscia,2004,Metairie,Louisiana,United States,Female,Dollar,americanexpress,JTDZN3EU1D3217602
53,828534636-6,kodaly1g,Pathfinder,$572903.67,50353,Nissan,Mauv,2010,Spokane,Washington,United States,Male,Dollar,jcb,JH4KA96643C750881
54,438604231-8,nwignall1h,Mustang,$571052.07,55780,Ford,Fuscia,1993,Houston,Texas,United States,Male,Dollar,mastercard,1FMJK1HT7FE357814
55,556338774-7,dsauvain1i,E-Series,$170102.03,137060,Ford,Turquoise,2011,Lakeland,Florida,United States,Male,Dollar,jcb,WAUWMAFC6FN799524
56,503430294-2,wcocci1j,Insight,$704694.79,78612,Honda,Indigo,2010,Lexington,Kentucky,United States,Female,Dollar,mastercard,1G6KF54905U873893
57,761954998-6,groeby1k,Town & Country,$415865.11,67146,Chrysler,Pink,1999,New Orleans,Louisiana,United States,Male,Dollar,jcb,JN8AF5MR5DT118112
58,648608334-4,mhark1l,Elantra,$543619.54,137512,Hyundai,Puce,1994,Pittsburgh,Pennsylvania,United States,Male,Dollar,jcb,JTMHY7AJ5A4600597
59,612226179-3,vhuffadine1m,MX-6,$322148.74,12193,Mazda,Green,1996,Honolulu,Hawaii,United States,Male,Dollar,americanexpress,1FTSF3B56AE014472
60,245236024-4,cbascomb1n,Gallardo,$227939.43,2786,Lamborghini,Goldenrod,2005,Detroit,Michigan,United States,Female,Dollar,jcb,JH4CW2H61DC210304
61,356310938-9,jhaskayne1o,Countach,$71795.10,35017,Lamborghini,Violet,1987,Washington,District of Columbia,United States,Female,Dollar,jcb,3C4PDDGG7FT946363
62,291775204-1,uhowatt1p,xA,$810083.19,39055,Scion,Mauv,2006,Toledo,Ohio,United States,Female,Dollar,visa,4T1BK1EB2FU552874
63,100154216-9,nokill1q,G,$822462.27,101306,Infiniti,Yellow,1994,Monticello,Minnesota,United States,Male,Dollar,maestro,SCBLC31E22C408049
64,655740500-4,cbradlaugh1r,Acadia,$580006.95,1892,GMC,Indigo,2007,Memphis,Tennessee,United States,Male,Dollar,switch,WBAUP7C58BV366188
65,865264114-5,nlawles1s,Pajero,$455913.16,142239,Mitsubishi,Violet,1993,Pensacola,Florida,United States,Female,Dollar,jcb,VNKKTUD33FA325327
66,691088492-2,erhelton1t,C70,$245113.11,15676,Volvo,Mauv,2009,San Diego,California,United States,Female,Dollar,instapayment,JN1CV6AP5DM350920
67,595498305-4,cgioan1u,TT,$376481.75,75805,Audi,Blue,2006,Colorado Springs,Colorado,United States,Female,Dollar,diners-club-enroute,SCFBB04B67G662845
68,268764504-4,agurner1v,Savana 3500,$176798.22,42888,GMC,Crimson,2005,Buffalo,New York,United States,Male,Dollar,jcb,WBAFU9C50BC282116
69,515903880-9,egopsell1w,Trans Sport,$783130.88,71697,Pontiac,Violet,1996,Miami,Florida,United States,Male,Dollar,china-unionpay,1GYS3DEF2ER286774
70,038896802-8,dcorwood1x,S-Type,$168595.93,118299,Jaguar,Orange,2005,Fredericksburg,Virginia,United States,Male,Dollar,americanexpress,JN1BJ0HR8FM165775
71,023452279-8,wdosedale1y,Rio,$822169.16,133885,Kia,Mauv,2002,Arlington,Virginia,United States,Female,Dollar,americanexpress,WAUDG78E06A595244
72,660421108-8,blilywhite1z,MX-3,$794554.20,149558,Mazda,Crimson,1994,San Antonio,Texas,United States,Male,Dollar,jcb,5NPDH4AEXBH353542
73,910611733-3,rdevereux20,Mulsanne,$846248.22,133278,Bentley,Pink,2012,San Francisco,California,United States,Male,Dollar,maestro,5J8TB2H26AA892194
74,589595863-X,jmeacher21,Daytona,$925168.40,90993,Dodge,Teal,1984,Boise,Idaho,United States,Female,Dollar,americanexpress,2C4RDGEG6DR553225
75,756025051-3,sjados22,Passat,$314252.63,122063,Volkswagen,Indigo,1994,Miami,Florida,United States,Male,Dollar,diners-club-enroute,5LMJJ2H55EE870049
76,620466318-6,dfarrant23,Odyssey,$946034.21,95080,Honda,Purple,2012,El Paso,Texas,United States,Male,Dollar,jcb,2HNYD285X7H361691
77,134750559-8,anasey24,Relay,$820867.62,62042,Saturn,Puce,2005,Salt Lake City,Utah,United States,Male,Dollar,instapayment,1N6AF0KX3EN901545
78,158949098-3,kdunlop25,H2,$523535.64,20632,Hummer,Turquoise,2007,Hialeah,Florida,United States,Female,Dollar,americanexpress,3D7TT2CT2BG183153
79,130662663-3,hhawsby26,Capri,$28255.05,92235,Mercury,Aquamarine,1991,Tulsa,Oklahoma,United States,Male,Dollar,visa-electron,1GYS4TKJ3FR229629
80,290903305-8,vguitel27,Yukon,$432335.93,83502,GMC,Orange,1993,Omaha,Nebraska,United States,Female,Dollar,jcb,KMHHT6KD6BU214656
81,249668542-4,sautin28,F150,$313357.42,33942,Ford,Teal,2009,Pueblo,Colorado,United States,Female,Dollar,jcb,2C4RDGBG1FR327715
82,785051430-0,gharraway29,Sentra,$180977.92,99299,Nissan,Green,1998,Stamford,Connecticut,United States,Female,Dollar,mastercard,WBA6B4C58ED559604
83,537257466-6,srosenkranc2a,Escape,$534941.69,143114,Ford,Violet,2002,Tallahassee,Florida,United States,Female,Dollar,americanexpress,WAUAF98E07A692575
84,415536606-1,sarney2b,C-MAX Hybrid,$946941.54,70261,Ford,Red,2013,Lake Worth,Florida,United States,Male,Dollar,jcb,WAUWFAFR5BA850673
85,806071724-3,acookson2c,4000CS Quattro,$275492.91,133921,Audi,Orange,1987,Oxnard,California,United States,Female,Dollar,maestro,KMHHU6KJ9FU805220
86,218262712-X,ytitterington2d,Focus,$153280.10,40966,Ford,Pink,2007,Knoxville,Tennessee,United States,Male,Dollar,jcb,JH4KB2F65CC834146
87,726254769-0,poscallan2e,Tempest,$414874.28,85556,Pontiac,Aquamarine,1966,Riverside,California,United States,Female,Dollar,jcb,137ZA84311E961513
88,069943642-7,nmerwede2f,Th!nk,$172019.78,59097,Ford,Orange,2000,Los Angeles,California,United States,Male,Dollar,jcb,WAUVC58EX2A005498
89,740695706-8,gjarvie2g,Quattroporte,$172253.55,99526,Maserati,Fuscia,1986,Shawnee Mission,Kansas,United States,Male,Dollar,diners-club-enroute,SCFAB223X2K547920
90,642931316-6,oglennie2h,Elantra,$692931.70,46413,Hyundai,Puce,2003,Miami,Florida,United States,Female,Dollar,jcb,WBANA73585C267716
91,804893004-8,jashe2i,Sunbird,$168034.05,129902,Pontiac,Teal,1991,Kansas City,Missouri,United States,Male,Dollar,jcb,2HNYD28537H819992
92,805963505-0,cpacker2j,Voyager,$642307.55,148649,Plymouth,Pink,2000,San Francisco,California,United States,Female,Dollar,china-unionpay,3D7JB1EK2AG861360
93,031464155-6,cpinnegar2k,IS,$275162.80,95381,Lexus,Yellow,2002,Boise,Idaho,United States,Female,Dollar,jcb,WBAUN1C57CV610286
94,148181869-4,lbloxham2l,E150,$567773.51,49861,Ford,Crimson,2011,Washington,District of Columbia,United States,Female,Dollar,jcb,3C6JD6BP6CG621904
95,746326645-1,bblazevic2m,XL7,$547223.58,138931,Suzuki,Green,2008,Oklahoma City,Oklahoma,United States,Male,Dollar,maestro,1FTSX2A5XAE176887
96,734451001-4,fdeortega2n,Accent,$623977.77,95919,Hyundai,Goldenrod,1998,Augusta,Georgia,United States,Female,Dollar,jcb,WP0AB2A84FK213917
97,928152915-7,leisikovitsh2o,Lightning,$296206.17,97042,Ford,Blue,1994,Reno,Nevada,United States,Female,Dollar,jcb,WBA3B5G57EN918695
98,444940228-6,bfourcade2p,C-Class,$19900.13,33262,Mercedes-Benz,Blue,1998,Sioux City,Iowa,United States,Male,Dollar,switch,1GYS4UKJ2FR206431
99,579306195-9,jpacke2q,98,$815581.50,117071,Oldsmobile,Goldenrod,1992,Johnson City,Tennessee,United States,Female,Dollar,americanexpress,WBAYE4C55FD660570
