Nodding Barren Strawberry,Rosaceae,Waldsteinia pendula (Urb.) Mez,Portugal,41.6559343,-8.7598916,Viana do Castelo
Mexican Hemlockparsley,Apiaceae,Conioselinum mexicanum J.M. Coult. & Rose,Indonesia,-8.4779418,113.3704466,
Subalpine Eyebright,Scrophulariaceae,Euphrasia mollis (Ledeb.) Wettst.,Malaysia,4.243113,117.893335,Sabah
Hartweg's Sundrops,Onagraceae,Calylophus hartwegii (Benth.) P.H. Raven ssp. fendleri (A. Gray) Towner & P.H. Raven,France,46.2501181,5.1140864,Rhône-Alpes
Smooth Woodyaster,Asteraceae,Xylorhiza glabriuscula Nutt. var. glabriuscula,Ecuador,-1.4493473,-79.4634825,
Key Lime,Rutaceae,Citrus ×aurantiifolia (Christm.) Swingle (pro sp.),Somalia,3.809294,43.2461055,
Sand Buckwheat,Polygonaceae,Eriogonum leptocladon Torr. & A. Gray var. leptocladon,China,25.606486,100.267638,
Kokrines Locoweed,Fabaceae,Oxytropis kokrinensis A.E. Porsild,China,22.806457,114.073302,
Michael's Piperia,Orchidaceae,Piperia michaelii (Greene) Rydb.,China,36.77549,119.219734,
Starke's Pottia Moss,Pottiaceae,Pottia starkeana (Hedw.) Müll. Hal.,Ivory Coast,7.690466,-5.0390536,
Wavyleaf Indian Paintbrush,Scrophulariaceae,Castilleja applegatei Fernald ssp. pinetorum (Fernald) T.I. Chuang & Heckard,Portugal,40.4843379,-7.8884665,Viseu
Texas Indian Paintbrush,Scrophulariaceae,Castilleja foliolosa Hook. & Arn.,Philippines,14.5508865,121.0075554,
Clubmoss Mousetail,Rosaceae,Ivesia lycopodioides A. Gray ssp. megalopetala (Rydb.) D.D. Keck,China,30.9048784,75.8332947,
Naked Milkvetch,Fabaceae,Astragalus serenoi (Kuntze) Sheldon var. serenoi,Indonesia,-8.6981,122.247,
Simple Campion,Caryophyllaceae,Silene scouleri Hook. ssp. scouleri,China,39.975999,116.317558,
Disc Lichen,Physciaceae,Buellia jugorum (Arnold) Arnold,China,40.343992,123.4454,
Low Philonotis Moss,Bartramiaceae,Philonotis fontana (Hedw.) Brid. var. caespitosa (Jur.) Schimp.,Philippines,5.9877589,124.6243344,
Spreading Groundsmoke,Onagraceae,Gayophytum diffusum Torr. & A. Gray,Peru,-14.0260541,-71.4544256,
Waianae Range Wild Coffee,Rubiaceae,Psychotria hathewayi Fosberg,Russia,50.3713333,103.2816977,
Psorotichia Lichen,Lichinaceae,Psorotichia segregata (Nyl.) Hasse,Russia,55.0123473,57.9832945,
Largeleaf Sphagnum,Sphagnaceae,Sphagnum macrophyllum Brid.,Russia,49.0109213,42.1212513,
White Mountain Ragwort,Asteraceae,Packera cynthioides (Greene) W.A. Weber & Á. Löve,Philippines,13.29664,123.756628,
Reed Canarygrass,Poaceae,Phalaris arundinacea L.,Ukraine,48.6144697,24.5234182,
Alsinidendron,Caryophyllaceae,Alsinidendron H. Mann,China,23.074045,112.76965,
Rimularia Lichen,Rimulariaceae,"Rimularia gibbosa (Ach.) Coppins, Hertel & Rambold",China,24.117102,117.613808,
Agardh Lupine,Fabaceae,Lupinus agardhianus A. Heller,Poland,49.9592267,20.6436082,
Woolly Woodvine,Rubiaceae,Sabicea villosa Willd. ex Roem. & Schult.,China,35.032891,108.093259,
Garlicvine,Bignoniaceae,Mansoa alliacea (Lam.) A.H. Gentry,Slovenia,46.3392772,14.9599807,
Golden Columbine,Ranunculaceae,Aquilegia chrysantha A. Gray,United States,35.0995959,-89.862563,Tennessee
Deckert's Pinweed,Cistaceae,Lechea deckertii Small,Canada,48.6197483,-123.4169098,British Columbia
Crackopen,Flacourtiaceae,Casearia sylvestris Sw.,China,31.298974,120.585289,
Mountain Muhly,Poaceae,Muhlenbergia montana (Nutt.) Hitchc.,Philippines,14.6927846,121.1100951,
Hoary Groundsel,Asteraceae,Packera werneriifolia (A. Gray) W.A. Weber & Á. Löve,Indonesia,-6.3931266,105.896559,
Wailua River Yellow Loosestrife,Primulaceae,Lysimachia filifolia Forbes,Philippines,7.420267,122.8417436,
Drummond's Bruchia Moss,Bruchiaceae,Bruchia drummondii Hampe ex E. Britton,China,22.141482,113.83012,
Brant's Oak,Fagaceae,Quercus brantii Lindl.,Portugal,38.7377792,-9.2135043,Lisboa
Swamp Sawgrass,Cyperaceae,Cladium mariscus (L.) Pohl,Uruguay,-34.9368789,-54.9281496,
Cordroot Beardtongue,Scrophulariaceae,Penstemon montanus Greene var. montanus,Madagascar,-19.894468,48.8070527,
Koehler's Rockcress,Brassicaceae,Arabis koehleri Howell,China,34.542308,118.752842,
Virginia Spiderwort,Commelinaceae,Tradescantia virginiana L.,Sweden,63.8223321,20.2753893,Västra Götaland
Burchell's Clover,Fabaceae,Trifolium burchellianum Ser.,China,30.411429,118.390218,
Mountain Spurge,Euphorbiaceae,Euphorbia chamaesula Boiss.,Philippines,11.2363822,123.709249,
Loureir's Date Palm,Arecaceae,Phoenix loureirii Kunth,Philippines,17.2356186,120.4796351,
Twining Snoutbean,Fabaceae,Rhynchosia tomentosa (L.) Hook. & Arn. var. tomentosa,Czech Republic,49.9321242,17.8000468,
Australian Redcedar,Meliaceae,Toona ciliata Roem. ssp. ciliata var. australis (F. Muell.) Bahadur,Philippines,17.1939768,120.4485002,
Scurf Hoarypea,Fabaceae,Tephrosia chrysophylla Pursh,Brazil,-18.3714305,-54.6972774,
Cottonheads,Polygonaceae,Nemacaulis denudata Nutt. var. gracilis Goodman & L.D. Benson,Brazil,-25.2641605,-50.6378804,
Sickle Pigeonwings,Fabaceae,Clitoria falcata Lam.,Albania,39.8592119,20.0271001,
Anisomeridium Lichen,Monoblastiaceae,Anisomeridium ambiguum (Zahlbr.) R.C. Harris,Brazil,-20.8933441,-47.5925952,
European White Waterlily,Nymphaeaceae,Nymphaea alba L.,Czech Republic,50.3422678,13.9673223,
Tall Silverbush,Euphorbiaceae,Argythamnia mercurialina (Nutt.) Müll. Arg. var. pilosissima (Benth.) Shinners,Philippines,11.2748678,122.0534319,
Schweinitz's Flatsedge,Cyperaceae,Cyperus schweinitzii Torr.,China,29.270311,88.880492,
Superb Beardtongue,Scrophulariaceae,Penstemon superbus A. Nelson,Russia,48.223292,46.7267949,
Peacock Sprangletop,Poaceae,Leptochloa decipiens (R. Br.) Stapf ex Maiden ssp. peacockii (Maiden & Betche) N. Snow,China,28.074649,119.141473,
Rock Indian Breadroot,Fabaceae,Pediomelum reverchonii (S. Watson) Rydb.,China,-32.075,115.779362,
Ozark Bluestar,Apocynaceae,Amsonia illustris Woodson,China,26.207631,113.767529,
Fewleaf Spiderflower,Capparaceae,Cleome sparsifolia S. Watson,Russia,56.5496799,84.0751534,
Porter's Melicgrass,Poaceae,Melica porteri Scribn. var. porteri,Brazil,-21.5367935,-43.0129853,
Hawkweed,Asteraceae,Hieracium ×fassettii Lepage var. mendicum Lepage (pro nm.),China,34.99562,103.053321,
Head Sandmat,Euphorbiaceae,Chamaesyce capitellata (Engelm.) Millsp.,Philippines,13.6256926,123.1848939,
Desertsunflower,Asteraceae,Geraea Torr. & A. Gray,China,23.365556,116.70345,
California Skullcap,Lamiaceae,Scutellaria californica A. Gray,Ukraine,48.2240339,23.9298885,
Sphagnum,Sphagnaceae,Sphagnum fimbriatum Wilson,Indonesia,-6.57018,111.03254,
Nodding Evening Primrose,Onagraceae,Oenothera nutans Atk. & Bartlett,Indonesia,-7.783297,110.363649,
Virginia Bryohaplocladium Moss,Leskeaceae,Bryohaplocladium virginianum (Brid.) R. Watan. & Z. Iwats.,Cuba,20.6482704,-75.9289046,
Sweetgrass,Poaceae,Hierochloe R. Br.,Thailand,15.1042521,101.0768333,
Rich's Seepweed,Chenopodiaceae,Suaeda maritima (L.) Dumort. ssp. richii (Fernald) Bassett & C.W. Crompton,France,49.039076,2.074954,Île-de-France
Sorrelvine,Vitaceae,Cissus trifoliata (L.) L.,Philippines,16.0847081,120.3954753,
Hulten's Fleabane,Asteraceae,Erigeron hultenii Spongberg,Indonesia,-4.083144,137.179103,
Philonotis Moss,Bartramiaceae,Philonotis fontana (Hedw.) Brid. var. pumila (Turner) Brid.,Russia,55.876771,37.4690832,
Blackish Oxytrope,Fabaceae,Oxytropis nigrescens (Pall.) Fisch. ex DC.,Czech Republic,49.4679131,18.2282007,
Scarlet Keckiella,Scrophulariaceae,Keckiella ternata (Torr. ex A. Gray) Straw ssp. ternata,China,23.396201,103.364905,
Australian Almond,Combretaceae,Terminalia muelleri Benth.,Canada,44.38345,-64.31545,Nova Scotia
Pricklypear,Cactaceae,Opuntia ×occidentalis Engelm. & J.M. Bigelow (pro sp.),Portugal,38.8757453,-7.1728338,Setúbal
Sabine Buttercup,Ranunculaceae,Ranunculus sabinei R. Br.,Russia,49.9248455,116.8425182,
Catillaria Lichen,Catillariaceae,Catillaria A. Massal.,South Korea,36.5683543,128.729357,
Splashzone Moss,Scouleriaceae,Scouleria Hook.,China,22.719816,113.829156,
African Dogstooth Grass,Poaceae,Cynodon transvaalensis Burtt Davy,Brazil,-20.7430332,-46.6096926,
Polar Sedge,Cyperaceae,Carex arctiformis Mack.,China,34.759314,108.992603,
Shrubby False Buttonweed,Rubiaceae,Spermacoce verticillata L.,China,24.84662,116.746096,
Rosy Palafox,Asteraceae,Palafoxia rosea (Bush) Cory var. rosea,Japan,35.7911456,139.4574047,
Florida Bellflower,Campanulaceae,Campanula floridana S. Watson ex A. Gray,Indonesia,-6.9524,113.6487,
Chaffweed,Primulaceae,Anagallis minima (L.) Krause,Japan,31.5612018,131.34858,
Lanai Delissea,Campanulaceae,Delissea lanaiensis (Rock) Lammers,Nicaragua,12.6583137,-87.1672193,
Devilthorn,Cactaceae,Echinocereus pseudopectinatus (N.P. Taylor) N.P. Taylor,Yemen,13.71216,45.30318,
Whitewoolly Buckwheat,Polygonaceae,Eriogonum ochrocephalum S. Watson var. ochrocephalum,Mexico,19.3376878,-99.0591821,Coahuila De Zaragoza
Alexandrian Senna,Fabaceae,Senna alexandrina Mill.,Kenya,0.5992059,34.779603,
Orthotrichum Moss,Orthotrichaceae,Orthotrichum rupestre Schleich. ex Schwägr.,Pakistan,30.1996024,73.6119469,
Linden Arrowwood,Caprifoliaceae,Viburnum dilatatum Thunb.,Uzbekistan,40.6605521,68.1789134,
Mucronleaf Tortula Moss,Pottiaceae,Tortula mucronifolia Schwägr.,Japan,34.7791206,135.4203895,
Amazon Canoparmelia Lichen,Parmeliaceae,Canoparmelia amazonica (Nyl.) Elix & Hale,Honduras,15.0026671,-88.751805,
Louisiana Broomrape,Orobanchaceae,Orobanche ludoviciana Nutt. ssp. ludoviciana,Philippines,10.6626096,122.3214575,
Bolander's Pohlia Moss,Bryaceae,Pohlia bolanderi (Sull.) Broth. var. seriata Shaw,Brazil,-23.047822,-50.068456,
Macomb's Ipomopsis,Polemoniaceae,Ipomopsis macombii (Torr. ex A. Gray) V.E. Grant,Kyrgyzstan,42.7197486,71.6080009,
Belmore Sentrypalm,Arecaceae,Howeia belmoreana (C. Moore & F. Muell.) Becc.,Poland,50.6422,17.61989,
Cutleaf Selfheal,Lamiaceae,Prunella laciniata (L.) L.,Indonesia,0.4568473,101.4046099,
Whorled Wood Aster,Asteraceae,Oclemena acuminata (Michx.) Greene,United States,32.8565219,-96.6038258,Texas
Queen Charlotte Island False Rue Anemone,Ranunculaceae,Enemion savilei (Calder & Roy L. Taylor) Keener,Japan,36.3029195,139.9768546,
Santa Barbara Bedstraw,Rubiaceae,Galium cliftonsmithii (Dempster) Dempster & Stebbins,Honduras,14.299475,-88.1706047,
Persian Carpet Flower,Asclepiadaceae,Edithcolea N.E. Br.,Japan,33.4547821,132.6048622,
Grand Fir,Pinaceae,Abies grandis (Douglas ex D. Don) Lindl.,France,47.7489727,7.3507066,Alsace
Earleaf Acacia,Fabaceae,Acacia auriculiformis A. Cunn. ex Benth.,France,43.4945737,5.8978018,Île-de-France
Farnoldia Lichen,Porpidiaceae,Farnoldia micropsis (A. Massal.) Hertel,Indonesia,-3.5095462,135.7520985,
Xanthoparmelia Lichen,Parmeliaceae,Xanthoparmelia psoromifera (Kurok.) Hale,Indonesia,-2.622461,102.754898,
Tiny Milkwort,Polygalaceae,Polygala smallii R.R. Sm. & Ward,Slovenia,46.6079153,16.2365127,
Showy Orchid,Orchidaceae,Galearis spectabilis (L.) Raf.,Malaysia,5.9840985,116.0761121,Sabah
Hoary Hawthorn,Rosaceae,Crataegus lanata Beadle,Indonesia,-7.7788197,113.7692328,
Southern Catalpa,Bignoniaceae,Catalpa bignonioides Walter,Portugal,41.0121335,-8.304667,Aveiro
Plumeseed,Asteraceae,Rafinesquia Nutt.,Russia,51.3531567,39.3015305,
Nuttall's Thistle,Asteraceae,Cirsium nuttallii DC.,Russia,55.1052515,82.9514853,
Umber Pussytoes,Asteraceae,Antennaria umbrinella Rydb.,Guatemala,14.7684437,-90.9795277,
Thelidium Lichen,Verrucariaceae,Thelidium absconditum (Hepp) Rebenh.,Canada,49.75018,-77.63277,Québec
Sonoran Indian Mallow,Malvaceae,Abutilon mollicomum (Willd.) Sweet,United Kingdom,51.5142805,-0.1284654,England
Cracked Lichen,Acarosporaceae,Acarospora glaucocarpa (Ach.) Körb.,Russia,55.9835962,37.1465904,
California Horkelia,Rosaceae,Horkelia californica Cham. & Schltdl. ssp. californica,Belarus,54.3785,26.6581,
Entireleaved Thelypody,Brassicaceae,Thelypodium integrifolium (Nutt.) Endl. ex Walp. ssp. longicarpum Al-Shehbaz,Namibia,-17.5061578,24.2806558,
Drops-of-gold,Liliaceae,Prosartes hookeri Torr.,Hungary,47.4485483,19.1990312,Zala
Skullcap Speedwell,Scrophulariaceae,Veronica scutellata L.,Japan,35.7911456,139.4574047,
Caterpillar Phacelia,Hydrophyllaceae,Phacelia hubbyi (J.F. Macbr.) L.M. Garrison,China,22.829287,107.200654,
Common Sheep Sorrel,Polygonaceae,Rumex acetosella L.,China,29.859714,113.801133,
Pale St. Johnswort,Clusiaceae,Hypericum ellipticum Hook.,South Korea,35.5383773,129.3113596,
Chañar,Fabaceae,Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart,Paraguay,-27.3330369,-57.6382382,
Clammy Locust,Fabaceae,Robinia viscosa Vent.,Macedonia,41.9924293,21.4298411,
Dames Rocket,Brassicaceae,Hesperis matronalis L.,Poland,49.86228,19.97924,
Intermediate Treebine,Vitaceae,Cissus intermedia A. Rich.,Mexico,22.2016816,-97.8367954,Nuevo Leon
San Anselmo Navarretia,Polemoniaceae,Navarretia rosulata Brand,China,46.4574669,121.3449344,
Christmasbush,Fabaceae,Senna bicapsularis (L.) Roxb.,Philippines,14.5937178,120.9676054,
Onion Blanketflower,Asteraceae,Gaillardia multiceps Greene var. multiceps,Russia,53.110584,126.33057,
Torrey's Desertdandelion,Asteraceae,Malacothrix torreyi A. Gray,Ukraine,49.7149346,28.8363647,
Bering Hairgrass,Poaceae,Deschampsia brevifolia R. Br.,Brazil,-1.7618311,-55.8638155,
Subterranean Indian Breadroot,Fabaceae,Pediomelum hypogaeum (Nutt. ex Torr. & A. Gray) Rydb. var. hypogaeum,Philippines,10.5333328,122.8333359,
Eke Silversword,Asteraceae,Argyroxiphium caliginis Forbes,Comoros,-11.5459875,43.3885797,
Pyrenean Thistle,Asteraceae,Cirsium pyrenaicum (Jacq.) All.,China,28.782431,113.122376,
Marsh Felwort,Gentianaceae,Lomatogonium rotatum (L.) Fr. ex Fernald,France,50.6638362,3.119593,Nord-Pas-de-Calais
Yellowseed False Pimpernel,Scrophulariaceae,Lindernia dubia (L.) Pennell var. dubia,Poland,52.142598,20.7175048,
Irish Hill Buckwheat,Polygonaceae,Eriogonum apricum J.T. Howell var. prostratum Myatt,Denmark,55.6780389,12.577906,Region Hovedstaden
Moor Rush,Juncaceae,Juncus stygius L.,France,45.4381658,4.3868779,Rhône-Alpes
Lotebush,Rhamnaceae,Ziziphus obtusifolia (Hook. ex Torr. & A. Gray) A. Gray,France,47.2623398,-0.1393138,Pays de la Loire
Checkerbloom,Malvaceae,Sidalcea A. Gray,Greece,40.7512099,23.0695911,
Pinaleno Mountain Rubberweed,Asteraceae,Hymenoxys ambigens (S.F. Blake) Bierner var. neomexicana W.L. Wagner,Guatemala,14.7833743,-90.4537748,
Drepanocladus Moss,Amblystegiaceae,Drepanocladus aduncus (Hedw.) Warnst. var. gracilescens (Schimp.) G. Roth,France,43.6746011,3.9826826,Languedoc-Roussillon
Heartleaf Skullcap,Lamiaceae,Scutellaria ovata Hill,South Korea,37.8530229,126.7842319,
Dallas Hawthorn,Rosaceae,Crataegus dallasiana Sarg.,Indonesia,-7.099977,106.888644,
Lempholemma Lichen,Lichinaceae,Lempholemma radiatum (Sommerf.) Henssen,Croatia,46.1554974,16.4207632,
Largeleaf Leather-root,Fabaceae,Orbexilum macrophyllum (Rowlee) Rydb.,Philippines,8.417766,126.207415,
Corn,Poaceae,Zea L.,Brazil,-1.5564515,-47.6455169,
Ginseng,Araliaceae,Eleutherococcus pentaphyllus (Siebold & Zucc.) Nakai,United States,30.3152434,-81.6856808,Florida
European Beech,Fagaceae,Fagus sylvatica L.,Portugal,41.5654743,-8.408069,Braga
Bigseed Alfalfa Dodder,Cuscutaceae,Cuscuta indecora Choisy,Portugal,37.9380466,-8.184571,Beja
Field Pussytoes,Asteraceae,Antennaria neglecta Greene,Philippines,13.6867437,123.1989968,
Prostrate Ticktrefoil,Fabaceae,Desmodium rotundifolium DC.,Indonesia,-6.939897,106.9506175,
Woollyhead Lessingia,Asteraceae,Lessingia hololeuca Greene,Indonesia,-6.6845518,111.4365318,
Wart Lichen,Pyrenulaceae,Pyrenula lucifera R.C. Harris,Mali,18.4520713,1.4096535,
Hybrid Oak,Fagaceae,Quercus ×runcinata (A. DC.) Engelm.,Indonesia,-7.02476,107.08093,
Ricefield Waternymph,Najadaceae,Najas graminea Delile,Iran,31.4151366,51.5683274,
Intermountain Bog Orchid,Orchidaceae,Platanthera tescamnis Sheviak & W.F. Jenn.,Philippines,8.3345712,124.2510844,
Waterwort,Elatinaceae,Elatine L.,China,30.93902,94.68908,
Idaho Trillium,Liliaceae,Trillium petiolatum Pursh,Indonesia,-6.9338,113.9812,
Hudson Bay Eyebright,Scrophulariaceae,Euphrasia hudsoniana Fernald & Wiegand var. ramosior Sell & Yeo,New Zealand,-46.5603901,169.4690405,
Arizona Pricklypoppy,Papaveraceae,Argemone arizonica G.B. Ownbey,Indonesia,-7.935395,111.8210866,
Sullivan City Flax,Linaceae,Linum lundellii C.M. Rogers,Serbia,44.3623348,19.3629829,
Lichinella Lichen,Lichinaceae,Lichinella Nyl.,Portugal,40.0233496,-7.7912472,Castelo Branco
Alpine Oreoxis,Apiaceae,Oreoxis alpina (A. Gray) J.M. Coult. & Rose,Mexico,17.7409147,-91.7660525,Tamaulipas
Letrouitia Lichen,Letrouitiaceae,Letrouitia Hafellner & Bellem.,China,31.2971634,121.4870071,
Rio Grande Palafox,Asteraceae,Palafoxia riograndensis Cory,China,26.486589,111.909579,
Dactylospora Lichen,Dactylosporaceae,Dactylospora purpurascens Triebel,China,28.447997,109.007094,
Striped Maple,Aceraceae,Acer pensylvanicum L.,Russia,59.7513574,60.2055668,
Goldenweed,Asteraceae,Pyrrocoma Hook.,China,29.724842,115.788192,
Sun Sedge,Cyperaceae,Carex inops L.H. Bailey ssp. heliophila (Mack.) Crins,Russia,55.7359757,60.538576,
Cuban Maiden Fern,Thelypteridaceae,Thelypteris piedrensis (C. Chr.) Morton,Russia,43.555139,43.8674076,
Verdolaguilla,Urticaceae,Pilea parietaria (L.) Blume,Venezuela,10.4600937,-67.7690497,
Yate,Myrtaceae,Eucalyptus cornuta Labill.,China,34.662234,109.226101,
Psydrax,Rubiaceae,Psydrax Gaertn.,Indonesia,-8.1878613,112.6407229,
Cryptic Desert Poppy,Papaveraceae,Eschscholzia papastillii Still,China,29.731101,116.251947,
Spiked Wild Indigo,Fabaceae,Baptisia albescens Small,Costa Rica,10.4572081,-84.5522224,
Pale Spikerush,Cyperaceae,Eleocharis macrostachya Britton,France,48.7057309,2.2186743,Île-de-France
Java Plum,Myrtaceae,Syzygium cumini (L.) Skeels,Thailand,13.7626581,100.6759772,
Narrowleaf Evening Primrose,Onagraceae,Oenothera fruticosa L. ssp. tetragona (Roth) W.L. Wagner,Russia,54.9428925,20.2216245,
Lesser Indian Paintbrush,Scrophulariaceae,Castilleja minor (A. Gray) A. Gray,China,35.408609,117.146885,
Cumberland False Rosemary,Lamiaceae,Conradina verticillata Jennison,Russia,43.2374865,45.0503473,
Pine,Podocarpaceae,Dacrydium Lamb.,Argentina,-42.7700601,-65.0306302,
Jelly Lichen,Collemataceae,Collema pustulatum Ach.,Colombia,2.0965805,-70.5264934,
Zion Fleabane,Asteraceae,Erigeron sionis Cronquist,China,53.3004898,-6.2634596,
Heartleaf Springbeauty,Portulacaceae,Claytonia cordifolia S. Watson,Dominican Republic,18.4668424,-69.2888011,
Smooth Barley,Poaceae,Hordeum murinum L. ssp. glaucum (Steud.) Tzvelev,Japan,35.4252373,139.9386123,
Roundleaf Serviceberry,Rosaceae,Amelanchier sanguinea (Pursh) DC.,Peru,-14.3386959,-72.8936384,
Chilean Ricegrass,Poaceae,Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett,Canada,49.2389409,-121.7658827,British Columbia
Kaibab Spinystar,Cactaceae,Escobaria vivipara (Nutt.) Buxbaum var. kaibabensis (P.C. Fisch.) N.P. Taylor,Czech Republic,49.3431786,16.2159455,
Scarlet Keckiella,Scrophulariaceae,Keckiella ternata (Torr. ex A. Gray) Straw ssp. septentrionalis (Munz & I.M. Johnst.) Straw,Mali,12.8371919,-4.9221114,
Carolina Puccoon,Boraginaceae,Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill. var. caroliniense,Indonesia,-7.8169756,111.9790773,
Pentas,Rubiaceae,Pentas Benth.,Indonesia,-8.5111152,118.4163103,
Largeleaf Fissidens Moss,Fissidentaceae,Fissidens grandifrons Brid.,Greece,38.1731682,20.4899734,
Looseflower Bluegrass,Poaceae,Poa laxiflora Buckley,Philippines,14.1929998,121.1317352,
Twincrest Onion,Liliaceae,Allium bisceptrum S. Watson,Netherlands,51.7211356,5.2985109,Provincie Noord-Brabant
Bur Pincushionplant,Polemoniaceae,Navarretia prolifera Greene ssp. prolifera,Vietnam,22.0832638,102.5757028,
Dunegrass,Poaceae,Swallenia Söderst. & Decker,Colombia,4.5943745,-74.0740729,
Alsia Moss,Leucodontaceae,Alsia Sull.,China,35.604025,110.983333,
Stonecrop Gilia,Polemoniaceae,Aliciella sedifolia (Brandegee) J.M. Porter,Mauritania,20.9425179,-17.0362272,
Nevada Biscuitroot,Apiaceae,Lomatium nevadense (S. Watson) J.M. Coult. & Rose,Philippines,10.2600338,123.958258,
Poleline Pritchardia,Arecaceae,Pritchardia waialealeana Read,Philippines,13.9734064,121.6889505,
Lily,Liliaceae,Lilium ×pseudograyi Grove (pro sp.),Serbia,45.536587,19.150386,
Hedgehyssop,Scrophulariaceae,Gratiola L.,Vietnam,22.0899425,104.7695962,
Yerba Puerto Rico De Cueva,Gesneriaceae,Gesneria citrina Urb.,Indonesia,-8.0716019,112.1758089,
Darkbrown Sedge,Cyperaceae,Carex atrofusca Schkuhr,Vietnam,10.4009358,106.22868,
Greater Yellowthroat Gilia,Polemoniaceae,Gilia tenuiflora Benth. ssp. amplifaucalis A.D. Grant & V.E. Grant,Sweden,60.145521,16.17123,Dalarna
Tree Cholla,Cactaceae,Cylindropuntia imbricata (Haw.) F.M. Knuth var. imbricata,Czech Republic,49.893413,16.028504,
Parry's Pussypaws,Portulacaceae,Cistanthe parryi (A. Gray) Hershkovitz var. parryi,Philippines,14.6484972,121.0782757,
Tarweed,Asteraceae,Hemizonia DC.,China,30.640814,93.232528,
Hybrid Violet,Violaceae,Viola ×mollicula House,Mexico,19.482042,-99.1985584,Guerrero
Parry's Arnica,Asteraceae,Arnica parryi A. Gray,Russia,66.5583101,67.7877623,
Clokey's Catchfly,Caryophyllaceae,Silene clokeyi C.L. Hitchc. & Maguire,Malaysia,3.9671435,103.40391,Pahang
Shell Lichen,Arthopyreniaceae,Arthopyrenia cinereopruinosa (Schaerer) A. Massal.,China,34.010666,104.395657,
