product_id,sales_person_id,sales_person_name,product_name,price,quantity_sold,product_make,product_color,model_year,region_sold_in,state_sold_in,country_sold_in,buyer_gender,currency,credit_card_type,Car_VIN
61,130221360-1,ddickens1o,G,$914560.12,77388,Infiniti,Green,2004,General Guido,,Argentina,Male,Peso,bankcard,WBAVC53508F274094
62,837778857-8,igowrie1p,Rogue,$783109.26,142944,Nissan,Maroon,2009,Alingsås,Västra Götaland,Sweden,Male,Krona,jcb,19UUB2F5XFA729914
63,852315488-4,amayer1q,900,$578378.36,114009,Saab,Maroon,1990,Illkirch-Graffenstaden,Alsace,France,Male,Euro,jcb,2C3CDXBG5FH933261
64,849808979-4,sludgrove1r,XC70,$399712.24,36873,Volvo,Aquamarine,2004,Gentilly,Île-de-France,France,Female,Euro,laser,1G6KF57993U056284
65,479754431-7,fmarsie1s,B-Series,$163117.23,141728,Mazda,Teal,2002,Iporã,,Brazil,Female,Real,bankcard,WBAYB6C56ED382829
66,341194816-7,mpetrelli1t,Forester,$762258.65,135211,Subaru,Crimson,2001,Sallanches,Rhône-Alpes,France,Male,Euro,maestro,1FMEU8DE3AU606233
67,116881067-1,fcrocroft1u,LS,$491613.84,57562,Lexus,Goldenrod,2003,Pombos,,Brazil,Female,Real,visa,5N1AN0NW4DN017911
68,354043364-3,skilshall1v,Impreza,$100711.99,94248,Subaru,Khaki,1996,Linköping,Östergötland,Sweden,Male,Krona,jcb,WAUAFAFH4DN594281
69,270555932-9,fmacandreis1w,G35,$165248.48,40383,Infiniti,Puce,2007,Roanoke,Virginia,United States,Male,Dollar,diners-club-carte-blanche,1GYUKFEJXAR013412
70,449292058-7,swestoll1x,Cayenne,$104742.41,46137,Porsche,Orange,2005,Naples,Florida,United States,Female,Dollar,jcb,KMHGH4JH8DU701768
71,203231000-7,fwinchurch1y,TL,$329828.85,2338,Acura,Fuscia,1997,Paris 08,Île-de-France,France,Male,Euro,maestro,3D7JV1EP3AG077983
72,330291896-8,tdeminico1z,LX,$169527.07,90527,Lexus,Khaki,2006,La Palma,Michoacan De Ocampo,Mexico,Male,Peso,americanexpress,YV4902BZ8E1502591
73,020728641-8,epetken20,Raider,$578358.00,16861,Mitsubishi,Pink,2007,Villa Gesell,,Argentina,Female,Peso,china-unionpay,1FMJK1G53EE174377
74,733971501-0,kspataro21,Elantra,$848241.23,35341,Hyundai,Aquamarine,2011,Ruy Barbosa,,Brazil,Male,Real,mastercard,KNAFX5A81E5146714
75,871043974-9,vissatt22,VS Commodore,$441832.89,21515,Holden,Purple,1997,Buenos Aires,Veracruz Llave,Mexico,Female,Peso,jcb,1G6DN57S350024648
76,764638065-2,eshovelbottom23,62,$11186.41,35922,Maybach,Fuscia,2006,Palmas,,Brazil,Male,Real,jcb,5TFCW5F1XBX295336
77,658390401-2,lmerrell24,MKX,$575798.09,138190,Lincoln,Aquamarine,2008,Prażmów,,Poland,Female,Zloty,jcb,1YVHZ8BH5D5156306
78,119403512-4,sjewers25,626,$519636.81,29431,Mazda,Crimson,1984,Corzuela,,Argentina,Female,Peso,diners-club-enroute,1D4PU5GK4BW335952
79,378843414-7,vashling26,Tribute,$833527.27,85826,Mazda,Puce,2010,Montélimar,Rhône-Alpes,France,Male,Euro,jcb,3VWAL7AJ3AM045330
80,961375306-0,cdudin27,Sunfire,$382552.63,82541,Pontiac,Crimson,2001,Vicente Guerrero,Chiapas,Mexico,Female,Peso,maestro,WBAVA33588F692543
81,567827943-2,snetherwood28,Altima,$652435.17,140142,Nissan,Purple,2000,Extremoz,,Brazil,Male,Real,visa-electron,2G4GS5EV7D9993711
82,965486778-8,wellingsworth29,Caravan,$574732.60,146363,Dodge,Turquoise,2007,Ibirité,,Brazil,Male,Real,jcb,NM0KS7DN7AT579857
83,277948886-7,fpochon2a,E250,$223268.36,29603,Ford,Purple,2003,Skanör,Skåne,Sweden,Female,Krona,jcb,SCBBR9ZA5BC807214
84,508696435-0,clafond2b,RS6,$578081.77,90979,Audi,Mauv,2003,Campo Formoso,,Brazil,Female,Real,jcb,WBAPT73578C117801
85,746304766-0,opowell2c,Outback,$709729.43,58764,Subaru,Aquamarine,2012,Fernandópolis,,Brazil,Male,Real,jcb,3N1CN7AP1FL117314
86,654106634-5,tgadsden2d,Mazda5,$636096.26,82974,Mazda,Purple,2010,Gävle,Gävleborg,Sweden,Male,Krona,jcb,1D4RE3GG1BC641708
87,818475279-2,rgavozzi2e,100,$489055.72,7431,Audi,Violet,1994,Rudziczka,,Poland,Female,Zloty,solo,1G6DA1E37D0174907
88,940283343-9,aancketill2f,MX-5,$183333.83,68094,Mazda,Purple,1991,Boliden,Västerbotten,Sweden,Male,Krona,jcb,KNDJN2A20F7695498
89,284567549-6,gchristmas2g,NSX,$470917.39,94622,Acura,Yellow,1999,Curuzú Cuatiá,,Argentina,Male,Peso,americanexpress,1FMJK1G55EE680910
90,358704558-5,lburg2h,Riviera,$114362.72,139381,Buick,Crimson,1999,Villejuif,Île-de-France,France,Male,Euro,instapayment,5XYKT3A15BG602785
91,780923119-7,bmcglynn2i,Explorer Sport Trac,$194238.25,59043,Ford,Maroon,2000,Kamieniec Wrocławski,,Poland,Male,Zloty,diners-club-enroute,1FTEX1EW3AK390096
92,316056430-4,mspeechly2j,C70,$26828.40,22328,Volvo,Pink,1999,Łapczyca,,Poland,Female,Zloty,diners-club-enroute,1C4RDJEG3EC907936
93,830643688-1,dkeatley2k,Sparrow,$641505.85,133528,Corbin,Yellow,2004,Skogås,Stockholm,Sweden,Female,Krona,jcb,WBAKB835X9C029359
94,552789890-7,etinston2l,Mazda3,$460595.35,58180,Mazda,Aquamarine,2008,Dean,England,United Kingdom,Male,Pound,mastercard,3VW1K7AJ5BM315193
95,466897067-0,lmanuelli2m,Viper,$412290.68,67078,Dodge,Goldenrod,2002,Hultsfred,Kalmar,Sweden,Female,Krona,jcb,JM3KE2BE4F0796721
96,713441836-7,cleithgoe2n,V8 Vantage,$64898.50,24850,Aston Martin,Violet,2006,Czerwionka-Leszczyny,,Poland,Male,Zloty,jcb,2FMDK3AK8EB447591
97,135516276-9,bevennett2o,Lynx,$502118.10,70160,Mercury,Fuscia,1985,Roma,Lazio,Italy,Female,Euro,americanexpress,4T1BF1FK8CU029941
98,708035498-6,gdeath2p,Daewoo Lacetti,$227922.57,94423,Suzuki,Violet,2006,Pierzchnica,,Poland,Male,Zloty,laser,1G4HP54K33U294462
99,972341809-6,sreddell2q,Concorde,$727259.41,10892,Chrysler,Green,1998,Buenos Aires,Veracruz Llave,Mexico,Female,Peso,jcb,WDDHF0EB4EB410104
100,321883776-6,hsevier2r,Accent,$539481.33,62245,Hyundai,Khaki,2004,Caucete,,Argentina,Male,Peso,diners-club-enroute,WUAGNAFG7BN119716
101,337487222-0,ajarmain2s,Versa,$288344.45,14937,Nissan,Blue,2011,Ciervo Petiso,,Argentina,Female,Peso,diners-club-us-ca,KMHTC6AD9CU873571
102,994323083-5,rabrahmovici2t,Truck,$568868.86,119079,Mitsubishi,Green,1993,Timbó,,Brazil,Male,Real,mastercard,3D73Y3CL3BG913787
103,716118732-X,lbarff2u,RL,$696675.69,139307,Acura,Puce,2011,Gózd,,Poland,Female,Zloty,visa,5N1AA0NC2DN023112
104,275083192-X,fdemer2v,Outback,$583321.35,139051,Subaru,Turquoise,2005,Roma,Lazio,Italy,Female,Euro,jcb,1G6DD8E38E0795607
105,910110048-3,ccoveley2w,G-Class,$441524.56,64718,Mercedes-Benz,Aquamarine,2002,München,Bayern,Germany,Female,Euro,diners-club-us-ca,3GYFNAEY2AS580291
106,460649456-5,bdrayn2x,7 Series,$988932.99,49212,BMW,Puce,1993,Jasieniec,,Poland,Male,Zloty,visa,WBA3B5C59EF795532
107,174836517-7,cdoerling2y,XC60,$111660.82,36977,Volvo,Crimson,2009,Francisco Villa,Durango,Mexico,Male,Peso,diners-club-carte-blanche,2G4GV5GV0D9268889
108,154826446-6,mproven2z,Avenger,$370153.66,63770,Dodge,Orange,2012,Or Yehuda,,Israel,Female,Shekel,switch,5NMSG3AB6AH738246
109,845746535-X,pfealy30,Ram 3500,$837482.81,32171,Dodge,Puce,2004,Itagibá,,Brazil,Female,Real,jcb,SCBGR3ZA3DC528866
110,619373786-3,ftanti31,2500,$261566.96,86146,Chevrolet,Fuscia,1997,Omaha,Nebraska,United States,Male,Dollar,jcb,WAURVAFA5AN667971
111,047478415-0,agaule32,A4,$514295.03,119709,Audi,Violet,1999,Tyresö,Stockholm,Sweden,Female,Krona,diners-club-carte-blanche,WAU32AFD9FN573155
112,320528049-0,ecorrado33,Thunderbird,$599426.95,83059,Ford,Aquamarine,1995,Itabaiana,,Brazil,Female,Real,jcb,1G4GF5G37DF286194
113,474907584-1,qphillpotts34,Venture,$832630.61,5390,Chevrolet,Yellow,1997,Compiègne,Picardie,France,Female,Euro,maestro,JM3TB2BVXD0326039
114,054199830-7,oainsbury35,Charger,$296716.67,33445,Dodge,Aquamarine,1968,Campos Gerais,,Brazil,Male,Real,jcb,WUAGL78E46A023298
115,250749749-1,adarby36,Leganza,$165841.48,63307,Daewoo,Khaki,2001,Boé,Aquitaine,France,Female,Euro,jcb,3GYEK63N72G019745
116,858050195-4,rwhitton37,XLR,$634659.17,124444,Cadillac,Red,2008,Catalão,,Brazil,Male,Real,diners-club-enroute,WBAKF3C54CE081413
117,349855026-8,bbriston38,850,$166028.47,2662,Volvo,Khaki,1994,Eirunepé,,Brazil,Male,Real,maestro,3VWC17AU4FM568517
118,737099348-5,bisworth39,Quattroporte,$403705.52,94720,Maserati,Maroon,2005,Kiel,Schleswig-Holstein,Germany,Female,Euro,jcb,4JGBB2FB9AA269127
119,756073850-8,wgirogetti3a,760,$380594.43,85849,BMW,Teal,2006,Luboń,,Poland,Male,Zloty,jcb,1N6AF0LX7EN023522
120,472184530-8,lfrondt3b,S80,$247823.55,92035,Volvo,Turquoise,2000,Töreboda,Västra Götaland,Sweden,Male,Krona,jcb,JTHBC1KS6B5191769
121,567109678-2,zcrain3c,Samurai,$431616.46,41115,Suzuki,Fuscia,1995,Arles,Provence-Alpes-Côte d'Azur,France,Male,Euro,bankcard,1GYFK56299R683877
122,130903299-8,jwatmore3d,Ram Van B150,$36867.76,90067,Dodge,Khaki,1994,Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,Male,Euro,mastercard,2G4GN5EC0B9338812
123,839573110-8,mdow3e,Stylus,$216217.34,71373,Isuzu,Khaki,1992,Żelazków,,Poland,Male,Zloty,diners-club-enroute,1C3CDZBG9DN351132
124,870383034-9,ctrevan3f,Camry,$648657.74,59751,Toyota,Orange,2010,Palmas,,Brazil,Female,Real,diners-club-enroute,WAUAF48H37K365854
125,788940467-0,ecanwell3g,LR3,$157341.16,121468,Land Rover,Maroon,2007,Katy,Texas,United States,Female,Dollar,mastercard,WBAKG1C59CE251590
126,467881278-4,etommei3h,3 Series,$855376.11,65302,BMW,Violet,2004,Fordon,,Poland,Female,Zloty,visa-electron,KNADM4A36D6856053
127,837676541-8,hoxby3i,Gallardo,$407883.93,88531,Lamborghini,Pink,2003,Bielawy,,Poland,Male,Zloty,diners-club-carte-blanche,JN8AZ2KR5DT792270
128,597277173-X,cjeffcoat3j,Cabriolet,$365080.37,87842,Audi,Yellow,1995,Adolfo Ruiz Cortines,Veracruz Llave,Mexico,Male,Peso,visa-electron,19UYA42753A682567
129,998485202-4,mjacks3k,Bronco,$972712.66,105041,Ford,Fuscia,1992,Las Varas,,Argentina,Male,Peso,mastercard,JTDBT4K31C1074931
130,151096586-6,cpendall3l,Intrepid,$376222.18,16648,Dodge,Turquoise,2001,Viseu,,Brazil,Male,Real,jcb,JTHBC1KSXB5879984
131,111705411-X,lbinestead3m,G-Series G20,$45686.50,43016,Chevrolet,Blue,1992,Porangatu,,Brazil,Female,Real,jcb,WAURFAFR8CA685328
132,935525252-8,dthebes3n,Expedition,$781218.38,99180,Ford,Blue,2004,Troyes,Champagne-Ardenne,France,Female,Euro,jcb,KMHTC6AD0EU809051
133,265702767-9,hskiplorne3o,SL-Class,$244692.29,54036,Mercedes-Benz,Violet,1998,Jasienica Rosielna,,Poland,Male,Zloty,diners-club-enroute,WBA3B3C58DF895480
134,041572019-2,ssprull3p,Grand Prix,$97435.67,16169,Pontiac,Turquoise,1964,Halmstad,Halland,Sweden,Male,Krona,jcb,SALAB2V66EA508054
135,792709497-1,edungay3q,62,$901962.31,8030,Maybach,Yellow,2011,Escada,,Brazil,Male,Real,instapayment,WBABN33493P916579
136,422969337-0,oelias3r,CL65 AMG,$185209.76,33044,Mercedes-Benz,Purple,2009,Guarujá,,Brazil,Female,Real,jcb,3C63D3LL5CG525376
137,379035922-X,rgready3s,S2000,$745757.45,12070,Honda,Crimson,2005,Santa Elena,Chiapas,Mexico,Male,Peso,maestro,WA1VMBFE0DD984333
138,248560534-3,erundle3t,Transit Connect,$489842.17,128440,Ford,Mauv,2011,Aluminé,,Argentina,Female,Peso,maestro,WBAVM1C52FV056618
139,981375683-7,ktissington3u,Tundra,$644112.49,143522,Toyota,Aquamarine,2000,Troyes,Champagne-Ardenne,France,Female,Euro,switch,WAUMGAFL8CA542897
140,859212186-8,giffland3v,626,$537389.57,71490,Mazda,Maroon,1986,Levallois-Perret,Île-de-France,France,Female,Euro,jcb,SCBZB25EX2C891145
141,439172327-1,gskyppe3w,Vanquish S,$772543.06,38985,Aston Martin,Mauv,2005,San Miguel,Michoacan De Ocampo,Mexico,Male,Peso,visa-electron,1GKUCEEF3AR087882
142,461806887-6,evicary3x,1500,$245169.13,20892,Chevrolet,Aquamarine,1995,Ujazd,,Poland,Male,Zloty,jcb,WAUEH48H67K606849
143,682373491-4,ableckly3y,H2,$882516.34,100778,Hummer,Puce,2008,Washington,District of Columbia,United States,Female,Dollar,americanexpress,4A4AP3AU7FE492369
144,365100470-8,ugrossier3z,G,$482509.04,118769,Infiniti,Khaki,2002,Stockholm,Stockholm,Sweden,Female,Krona,jcb,WA1WKAFP4CA280044
145,810997259-4,dfaltin40,S70,$751780.72,64547,Volvo,Maroon,1999,Malec,,Poland,Male,Zloty,instapayment,JTHBK1EG2A2436576
146,767908905-1,lbeardshall41,W123,$67614.86,3672,Mercedes-Benz,Puce,1977,Łaskarzew,,Poland,Male,Zloty,jcb,WAUBFAFL1CA771223
147,019276872-7,dgass42,LeMans,$395226.91,115595,Pontiac,Puce,1993,Byczyna,,Poland,Female,Zloty,solo,JTHBL5EF6F5207903
148,669318589-4,acaslake43,Prelude,$473175.97,4685,Honda,Goldenrod,2000,Reston,Virginia,United States,Male,Dollar,jcb,2G4G05GV5B9272724
149,112766060-8,dbalden44,Sequoia,$638308.41,78881,Toyota,Green,2003,Jeremoabo,,Brazil,Male,Real,mastercard,19UYA42541A435777
150,818900367-4,poliveras45,SLK-Class,$103042.64,61029,Mercedes-Benz,Khaki,2012,Avignon,Provence-Alpes-Côte d'Azur,France,Male,Euro,laser,JN1AJ0HP4AM749383
151,003547183-2,dswidenbank46,Malibu,$57218.40,117145,Chevrolet,Red,1997,Bromma,Stockholm,Sweden,Female,Krona,americanexpress,WAUKFBFL6CN473359
152,546131017-6,franald47,Ranger,$467358.80,42488,Ford,Indigo,2008,Montluel,Rhône-Alpes,France,Female,Euro,jcb,JN8AZ1MU9CW036093
153,844012670-0,hkohen48,Camry Hybrid,$542867.21,42164,Toyota,Green,2012,Novo Cruzeiro,,Brazil,Female,Real,diners-club-enroute,WP1AE2A23FL373537
154,105528032-4,mmailey49,E150,$370270.35,51464,Ford,Crimson,2012,Gravatá,,Brazil,Male,Real,maestro,WBA3D5C54EF246587
155,342789039-2,ltarbin4a,530,$804961.03,33999,BMW,Goldenrod,2003,Bastia,Corse,France,Female,Euro,jcb,NM0KS9AN1AT473243
156,508662209-3,mbogue4b,G-Class,$262970.38,39985,Mercedes-Benz,Maroon,2008,Göteborg,Västra Götaland,Sweden,Male,Krona,diners-club-enroute,WBAAZ33424K941452
157,215615762-6,jchezelle4c,Express 3500,$451754.87,95955,Chevrolet,Purple,2010,Leones,,Argentina,Female,Peso,jcb,1C4AJWAG0DL525760
158,170801425-X,hnorgate4d,Amanti,$597573.20,95600,Kia,Yellow,2004,Fresnes,Île-de-France,France,Female,Euro,jcb,SALSF2D41AA030600
159,224840180-9,adetoc4e,Grand Vitara,$621215.62,97676,Suzuki,Mauv,2012,Nova Iguaçu,,Brazil,Female,Real,jcb,KMHCT4AE9DU211892
160,210423497-2,mmaccard4f,Golf,$393191.88,144800,Volkswagen,Teal,2006,Conchal,,Brazil,Female,Real,jcb,1GTN1UEH1FZ379815
161,204760946-1,mcorkett4g,RX-7,$209750.47,89645,Mazda,Violet,1985,Castelo,,Brazil,Female,Real,china-unionpay,KMHTC6AD4DU537053
162,221460916-4,hpryn4h,Thunderbird,$938708.00,35809,Ford,Purple,1986,Bastia,Corse,France,Male,Euro,visa-electron,1B3AZ6JZ3AV840077
163,687652866-9,hsmallpiece4i,SJ,$638976.28,135533,Suzuki,Khaki,1985,Pirapozinho,,Brazil,Male,Real,diners-club-carte-blanche,JA32U1FU4AU372513
164,578517038-8,rhugle4j,Rabbit,$183840.35,138054,Volkswagen,Aquamarine,2007,Independencia,Chiapas,Mexico,Male,Peso,bankcard,KNAGN4AD0F5744358
165,799722098-4,gcrocetto4k,Firebird,$724851.23,48112,Pontiac,Crimson,1967,Concordia,,Argentina,Male,Peso,jcb,5J8TB3H78GL402367
166,095823913-4,mshyram4l,Camaro,$976460.14,14831,Chevrolet,Crimson,1968,São José do Egito,,Brazil,Male,Real,mastercard,5YMGZ0C54DL155853
167,270660920-6,mjambrozek4m,Tundra,$744753.79,109977,Toyota,Goldenrod,2010,Ji Paraná,,Brazil,Female,Real,jcb,1G4GF5E31CF616798
